#timestamp x y z qx qy qz qw
1723669388.773113 -1.532951 -0.372036 -0.021020 0.648292 0.299243 -0.238765 0.658151
1723669390.773287 -1.460694 -0.297324 0.067145 0.633708 0.305380 -0.161702 0.692106
1723669391.773374 -1.277815 -0.133442 0.048616 0.584504 0.267070 -0.268704 0.717515
1723669392.773460 -1.073673 -0.236966 0.024086 0.551971 0.286105 -0.303652 0.721988
1723669393.773547 -0.838272 -0.114113 0.077615 0.666220 0.130097 -0.365413 0.636945
1723669394.773633 -0.685407 -0.271588 0.087891 0.733658 0.100226 -0.288821 0.606863
1723669395.773719 -0.374204 -0.284605 0.154856 0.714185 0.018947 -0.255825 0.651256
1723669396.773805 -0.317351 -0.434277 0.201550 0.713513 -0.114384 -0.246505 0.645795
1723669397.773890 -0.295555 -0.412492 0.272096 0.706622 -0.039066 -0.070538 0.702982
1723669398.773976 -0.279845 -0.303358 0.254350 0.700972 0.127838 0.067565 0.698377
1723669399.774061 -0.277336 -0.185635 0.215866 0.658713 0.258165 0.116266 0.697087
1723669400.774146 -0.304146 -0.086482 0.172791 0.601959 0.372825 0.192136 0.679507
1723669401.774230 -0.369634 0.006373 0.149825 0.541890 0.455879 0.248277 0.660975
1723669402.774315 -0.497009 0.095539 0.139987 0.495269 0.503734 0.299085 0.641490
1723669403.774399 -0.578907 0.183716 0.064223 0.425880 0.577604 0.266760 0.643303
1723669404.774484 -0.578121 0.206813 -0.055213 0.399234 0.611535 0.203458 0.652106
1723669405.774568 -0.614498 0.219660 -0.148110 0.352026 0.660211 0.167046 0.642102
1723669406.774652 -0.720809 0.273722 -0.170413 0.250755 0.698992 0.231020 0.628619
1723669407.774735 -0.819790 0.325287 -0.144818 0.141961 0.725396 0.339101 0.581944
1723669408.774818 -0.892890 0.327538 -0.129545 0.078676 0.735444 0.403367 0.538728
1723669409.774901 -1.031270 0.405659 -0.142668 0.056652 0.736044 0.404852 0.539559
1723669410.774984 -1.108808 0.444922 -0.131775 0.055801 0.725127 0.429221 0.535581
1723669411.775067 -1.083422 0.459582 -0.037379 0.165720 0.739884 0.443726 0.477720
1723669412.775150 -1.164664 0.561136 -0.014937 0.309790 0.679573 0.338591 0.572335
1723669413.775232 -1.092245 0.528889 0.046640 0.401794 0.635629 0.331977 0.569498
1723669414.775314 -1.073216 0.529791 0.020274 0.488053 0.567821 0.205512 0.630197
1723669415.775396 -0.976772 0.450979 0.008740 0.531580 0.511681 0.131922 0.661968
1723669416.775478 -0.890897 0.416087 0.034019 0.571121 0.472364 0.131796 0.658273
1723669417.775559 -0.859296 0.379057 0.124751 0.618878 0.388180 0.199431 0.653096
1723669418.775641 -0.870190 0.359310 0.197070 0.640354 0.326113 0.250184 0.648849
1723669419.775722 -0.869281 0.325126 0.271878 0.664038 0.266598 0.285757 0.637433
1723669420.775803 -0.872989 0.251787 0.326784 0.703153 0.181961 0.285255 0.625376
1723669421.775883 -0.931024 0.263011 0.380352 0.673472 0.186690 0.376063 0.608407
1723669422.775964 -0.980381 0.320785 0.402789 0.622749 0.281206 0.488470 0.542682
1723669423.776044 -1.065971 0.376830 0.392832 0.544000 0.393461 0.538270 0.509429
1723669424.776124 -1.175412 0.395468 0.367484 0.465012 0.492053 0.586676 0.444364
1723669425.776205 -1.278665 0.448717 0.310964 0.383179 0.569451 0.586670 0.429788
1723669426.776284 -1.356798 0.486877 0.245570 0.296117 0.616708 0.577551 0.445446
1723669427.776364 -1.424007 0.504151 0.196315 0.221759 0.651410 0.581599 0.433855
1723669428.776443 -1.427509 0.515609 0.143719 0.172800 0.671643 0.551427 0.463642
1723669429.776523 -1.411206 0.517549 0.121000 0.155894 0.672844 0.533483 0.488235
