#timestamp x y z qx qy qz qw
1723669388.773113 -0.639679 -0.323883 0.081778 0.647748 0.298948 -0.235882 0.659858
1723669390.773287 -0.568195 -0.248725 0.170193 0.632939 0.305020 -0.158782 0.693642
1723669391.773374 -0.385975 -0.084036 0.152336 0.584067 0.266465 -0.265820 0.719168
1723669392.773460 -0.181247 -0.186662 0.128944 0.551574 0.285391 -0.300849 0.723746
1723669393.773547 0.053327 -0.062667 0.183456 0.666385 0.129810 -0.362419 0.638539
1723669394.773633 0.206633 -0.219580 0.195074 0.733723 0.100220 -0.285714 0.608255
1723669395.773719 0.517560 -0.231090 0.263574 0.714325 0.018811 -0.252610 0.652361
1723669396.773805 0.574865 -0.380438 0.310748 0.713937 -0.114500 -0.243216 0.646552
1723669397.773890 0.596216 -0.358460 0.381370 0.706408 -0.039219 -0.067188 0.703517
1723669398.773976 0.611516 -0.249279 0.363554 0.700044 0.127776 0.070776 0.699001
1723669399.774061 0.613677 -0.131598 0.324923 0.657371 0.258043 0.119283 0.697888
1723669400.774146 0.586627 -0.032626 0.281583 0.600184 0.372667 0.194898 0.680377
1723669401.774230 0.520830 0.059899 0.258174 0.539803 0.455667 0.250793 0.661879
1723669402.774315 0.393101 0.148470 0.247596 0.492963 0.503498 0.301410 0.642363
1723669403.774399 0.311172 0.236173 0.171316 0.423484 0.577184 0.268871 0.644383
1723669404.774484 0.312435 0.259115 0.051853 0.396909 0.610991 0.205502 0.653393
1723669405.774568 0.276452 0.271673 -0.041236 0.349687 0.659559 0.168919 0.643558
1723669406.774652 0.170006 0.325220 -0.064128 0.248182 0.698186 0.232590 0.629955
1723669407.774735 0.070669 0.376368 -0.039083 0.139098 0.724528 0.340282 0.583026
1723669408.774818 -0.002513 0.378306 -0.024168 0.075663 0.734581 0.404289 0.539645
1723669409.774901 -0.141181 0.455778 -0.038068 0.053634 0.735130 0.405723 0.540459
1723669410.774984 -0.218949 0.494703 -0.027604 0.052752 0.724237 0.430088 0.536398
1723669411.775067 -0.194089 0.509603 0.066894 0.162641 0.739394 0.444717 0.478613
1723669412.775150 -0.275899 0.610815 0.088805 0.307040 0.679112 0.340187 0.573416
1723669413.775232 -0.203634 0.578980 0.150776 0.399162 0.635381 0.333819 0.570548
1723669414.775314 -0.184481 0.579934 0.124501 0.485840 0.567538 0.207747 0.631428
1723669415.775396 -0.087626 0.501547 0.113540 0.529652 0.511372 0.134373 0.663258
1723669416.775478 -0.001716 0.467080 0.139281 0.569285 0.472154 0.134360 0.659494
1723669417.775559 0.029612 0.430314 0.230215 0.617073 0.388137 0.202154 0.653991
1723669418.775641 0.018457 0.410613 0.302507 0.638570 0.326164 0.252990 0.649493
1723669419.775722 0.019160 0.376533 0.377364 0.662312 0.266755 0.288634 0.637868
1723669420.775803 0.015520 0.303250 0.432350 0.701628 0.182237 0.288256 0.625633
1723669421.775883 -0.042825 0.314282 0.485622 0.671728 0.187000 0.378949 0.608449
1723669422.775964 -0.092551 0.371860 0.507743 0.620562 0.281634 0.491020 0.542664
1723669423.776044 -0.178346 0.427501 0.497297 0.541460 0.393823 0.540479 0.509516
1723669424.776124 -0.287747 0.445607 0.471394 0.462175 0.492425 0.588479 0.444527
1723669425.776205 -0.390965 0.498311 0.414305 0.380177 0.569672 0.588190 0.430084
1723669426.776284 -0.468953 0.536028 0.348482 0.293019 0.616686 0.578865 0.445819
1723669427.776364 -0.536001 0.552930 0.298880 0.218581 0.651250 0.582684 0.434253
1723669428.776443 -0.539300 0.564303 0.246252 0.169629 0.671279 0.552448 0.464125
1723669429.776523 -0.522897 0.566287 0.223610 0.152747 0.672371 0.534518 0.488749
1723669449.857139 0.088067 0.093898 0.084914 0.649936 0.172155 -0.332344 0.661433
1723672398.282737 0.214132 -0.131626 -0.048949 0.735721 0.145034 -0.312513 0.583109
1723672400.282900 0.533417 -0.087120 -0.085137 0.733439 0.224725 -0.296216 0.569054
1723672401.282981 0.836460 -0.035621 -0.043118 0.711443 0.155346 -0.367659 0.578398
1723672402.283062 0.925024 -0.173976 -0.045972 0.711028 0.151432 -0.396574 0.560568
1723672403.283142 0.991918 -0.264352 -0.081173 0.702044 -0.002246 -0.583943 0.407602
1723672404.283222 0.882443 -0.391479 -0.083037 0.765122 0.081096 -0.443885 0.459324
1723672405.283303 1.419231 -0.057158 -0.123140 0.555688 0.435130 -0.280333 0.650605
1723672406.283383 1.568518 0.071720 -0.167938 0.171649 0.659696 0.284248 0.674197
1723672407.283462 1.575243 0.186363 -0.231086 -0.233818 0.627345 0.602789 0.434066
1723672408.283542 1.587047 0.196614 -0.237863 -0.248906 0.627937 0.634389 0.375889
1723672409.283622 1.602529 0.202202 -0.245621 -0.219739 0.645881 0.627996 0.374397
1723672411.283782 1.471640 0.222980 -0.214724 -0.216076 0.637386 0.651764 0.349647
1723672412.283861 1.103464 0.194460 -0.190576 -0.288827 0.612378 0.698396 0.231979
1723672413.283941 0.640595 0.111816 -0.180065 -0.314322 0.599746 0.720245 0.150845
1723672414.284020 0.224798 0.173471 -0.197414 -0.323360 0.586344 0.735167 0.105682
1723672415.284099 -0.143718 0.125741 -0.231193 -0.312937 0.600751 0.724510 0.127490
1723672416.284178 -0.440699 0.059440 -0.306087 -0.395710 0.576575 0.712241 0.060716
1723672417.284258 -0.519655 0.015008 -0.339527 -0.424209 0.570447 0.702203 0.039332
1723673680.104740 0.032348 0.037635 -0.057455 0.641355 0.286839 -0.184336 0.687319
1723673681.104827 0.040273 0.021093 -0.070858 0.647357 0.327124 -0.179888 0.664499
