#timestamp x y z qx qy qz qw
1723669388.773113 -0.015632 -0.469910 0.094229 0.632468 0.335925 -0.188761 0.671943
1723669390.773287 0.044887 -0.387364 0.184229 0.617002 0.340475 -0.109765 0.700954
1723669391.773374 0.205339 -0.201070 0.170200 0.571417 0.299312 -0.215485 0.733118
1723669392.773460 0.421530 -0.277132 0.148516 0.538043 0.316314 -0.250265 0.740150
1723669393.773547 0.638160 -0.125450 0.207154 0.662305 0.169038 -0.317094 0.657442
1723669394.773633 0.812670 -0.263302 0.221994 0.730742 0.143520 -0.242168 0.621911
1723669395.773719 1.121793 -0.236699 0.294377 0.716479 0.060630 -0.206895 0.663458
1723669396.773805 1.196727 -0.378234 0.340934 0.724331 -0.072450 -0.198540 0.656260
1723669397.773890 1.214350 -0.354513 0.412019 0.711315 0.001000 -0.018983 0.702616
1723669398.773976 1.216118 -0.244093 0.395386 0.693668 0.166620 0.119203 0.690546
1723669399.774061 1.204033 -0.126657 0.357849 0.642642 0.293733 0.167919 0.687412
1723669400.774146 1.165354 -0.031374 0.315060 0.577862 0.404297 0.242499 0.666194
1723669401.774230 1.088806 0.052475 0.291644 0.511984 0.483201 0.297164 0.645044
1723669402.774315 0.951156 0.124549 0.280229 0.461846 0.527885 0.346408 0.622927
1723669403.774399 0.859817 0.202161 0.203700 0.388112 0.597234 0.313995 0.627765
1723669404.774484 0.859592 0.226339 0.084475 0.359911 0.629571 0.251315 0.641050
1723669405.774568 0.823403 0.235296 -0.008951 0.309925 0.675334 0.214139 0.634047
1723669406.774652 0.711381 0.275403 -0.032719 0.205754 0.707318 0.276403 0.617226
1723669407.774735 0.606156 0.313510 -0.008487 0.094355 0.726556 0.380412 0.564358
1723669408.774818 0.533134 0.306157 0.005508 0.029816 0.732580 0.441245 0.517437
1723669409.774901 0.386054 0.365893 -0.009465 0.007793 0.731742 0.442594 0.518270
1723669410.774984 0.303922 0.394714 0.000355 0.007425 0.720722 0.466598 0.512631
1723669411.775067 0.325638 0.411599 0.095293 0.115778 0.742993 0.478334 0.453601
1723669412.775150 0.231595 0.501595 0.117069 0.264756 0.691783 0.380515 0.553668
1723669413.775232 0.306547 0.478360 0.179668 0.359452 0.653942 0.374326 0.550486
1723669414.775314 0.325734 0.481970 0.153649 0.451261 0.591893 0.252500 0.618280
1723669415.775396 0.431730 0.416379 0.143220 0.499095 0.538740 0.181250 0.654073
1723669416.775478 0.520966 0.392614 0.169743 0.541081 0.502099 0.181051 0.649884
1723669417.775559 0.555585 0.359083 0.260734 0.593581 0.420936 0.248246 0.639412
1723669418.775641 0.546141 0.337386 0.332698 0.618575 0.360208 0.298527 0.631266
1723669419.775722 0.550226 0.302872 0.407248 0.645705 0.302297 0.333227 0.616961
1723669420.775803 0.555119 0.229131 0.461521 0.690164 0.220478 0.331910 0.604068
1723669421.775883 0.495243 0.232246 0.514142 0.659391 0.223027 0.421191 0.581430
1723669422.775964 0.438472 0.282946 0.536145 0.601414 0.314131 0.529083 0.509602
1723669423.776044 0.346532 0.327572 0.525108 0.515001 0.421118 0.576440 0.474500
1723669424.776124 0.236032 0.332178 0.497979 0.429106 0.514735 0.620287 0.407628
1723669425.776205 0.127709 0.372209 0.440055 0.342378 0.586797 0.618975 0.394101
1723669426.776284 0.046388 0.400606 0.373587 0.252591 0.628226 0.610351 0.411099
1723669427.776364 -0.021670 0.409544 0.323290 0.176062 0.658125 0.613157 0.399890
1723669428.776443 -0.025756 0.420970 0.270728 0.126286 0.675024 0.584647 0.431952
1723669429.776523 -0.009469 0.425220 0.248316 0.109599 0.674998 0.568193 0.457737
1723669449.857139 0.651962 0.036183 0.108354 0.643525 0.208444 -0.280636 0.680933
1723672398.282737 0.813012 -0.170882 -0.019608 0.729806 0.190299 -0.269807 0.598643
1723672400.282900 1.123831 -0.087473 -0.052466 0.722271 0.269665 -0.254017 0.584021
1723672401.282981 1.417385 0.001758 -0.006429 0.705196 0.199363 -0.325210 0.597655
1723672402.283062 1.522910 -0.124134 -0.009673 0.705094 0.195685 -0.355226 0.581691
1723672403.283142 1.601147 -0.204830 -0.045019 0.706137 0.043607 -0.552870 0.440230
1723672404.283222 1.508815 -0.344850 -0.049448 0.763280 0.129761 -0.408995 0.483000
1723672405.283303 1.998932 0.055638 -0.079920 0.531810 0.467735 -0.232758 0.666503
1723672406.283383 2.130999 0.203014 -0.121668 0.131267 0.664068 0.331298 0.657286
1723672407.283462 2.123680 0.318306 -0.183558 -0.274342 0.605431 0.631442 0.399338
1723672408.283542 2.134148 0.330057 -0.190093 -0.289928 0.605199 0.659179 0.339351
1723672409.283622 2.148869 0.337664 -0.197613 -0.261943 0.625012 0.652962 0.338211
1723672411.283782 2.016087 0.341222 -0.168025 -0.258011 0.616771 0.675073 0.311930
1723672412.283861 1.654330 0.265709 -0.148444 -0.329914 0.587550 0.713553 0.191790
1723672413.283941 1.205703 0.124601 -0.144154 -0.355116 0.573636 0.729962 0.109500
1723672414.284020 0.785629 0.132933 -0.165699 -0.363609 0.559848 0.741844 0.063456
1723672415.284099 0.426577 0.039000 -0.204247 -0.353952 0.574829 0.732739 0.085924
1723672416.284178 0.141263 -0.063752 -0.283266 -0.435310 0.545844 0.715643 0.020396
1723672417.284258 0.068969 -0.117496 -0.318075 -0.463422 0.538077 0.704069 -0.000176
