#timestamp x y z qx qy qz qw
1716306428.864081 0.743623 -2.387024 0.113003 0.655965 -0.220854 -0.523393 0.496984
1716306430.264302 0.734165 -2.387337 0.154480 0.658210 -0.240582 -0.471669 0.535171
1716306430.664365 0.717284 -2.379684 0.209832 0.644653 -0.301325 -0.403741 0.574994
1716306431.064428 0.692120 -2.371491 0.259329 0.602502 -0.367693 -0.354761 0.613137
1716306431.664523 0.659772 -2.350737 0.321740 0.556364 -0.446060 -0.269126 0.647349
1716306432.064586 0.638143 -2.307677 0.350030 0.501146 -0.516373 -0.215500 0.660130
1716306432.464648 0.611350 -2.278253 0.368484 0.475041 -0.547388 -0.143068 0.673968
1716306433.064743 0.571797 -2.273777 0.379000 0.446285 -0.586834 -0.069167 0.672065
1716306433.464806 0.554261 -2.287437 0.387749 0.402013 -0.615472 -0.091481 0.671722
1716306433.864868 0.512611 -2.318790 0.389753 0.386868 -0.618246 -0.149259 0.667703
1716306434.464962 0.458161 -2.409431 0.389665 0.405860 -0.595602 -0.236604 0.651579
1716306434.865024 0.454299 -2.519972 0.386908 0.396931 -0.590665 -0.294284 0.637933
1716306435.265087 0.431197 -2.637604 0.385676 0.391901 -0.586593 -0.328479 0.628032
1716306435.865179 0.315470 -2.804664 0.369533 0.456337 -0.530693 -0.349208 0.623037
1716306436.265242 0.261786 -2.870735 0.306065 0.541349 -0.465173 -0.350922 0.606143
1716306436.665303 0.279506 -2.875101 0.257201 0.611971 -0.386796 -0.380384 0.575490
1716306437.065365 0.301249 -2.874023 0.193745 0.630723 -0.319670 -0.459588 0.537382
1716306437.665457 0.234237 -2.909613 0.123613 0.639767 -0.223598 -0.562342 0.473786
1716306438.065519 0.165098 -2.950910 0.064788 0.669917 -0.159939 -0.607893 0.395092
1716306438.465580 0.146226 -2.972200 0.017489 0.681086 -0.148257 -0.626944 0.347970
1716306438.865642 0.188257 -2.993712 -0.026656 0.683559 -0.096356 -0.640737 0.336034
1716306439.465733 0.208961 -3.011028 -0.032567 0.677877 -0.122911 -0.654610 0.311225
1716306439.665764 0.191797 -3.013631 -0.020233 0.672079 -0.160903 -0.660305 0.293969
1716306440.265855 0.060534 -3.084198 0.014289 0.661494 -0.208947 -0.655455 0.298574
1716306440.465886 0.001608 -3.117782 0.019871 0.660722 -0.214394 -0.657083 0.292787
1716306440.665916 -0.055592 -3.135535 0.032590 -0.654439 0.247575 0.654483 -0.286475
1716306440.865946 -0.100565 -3.165761 0.035609 0.653771 -0.272974 -0.650016 0.274858
1716306441.266007 -0.144171 -3.278817 0.066559 0.637340 -0.304072 -0.635286 0.312648
1716306441.466037 -0.160175 -3.331158 0.090819 0.627811 -0.320793 -0.620894 0.342689
1716306441.866098 -0.208047 -3.394037 0.131582 0.628470 -0.333801 -0.572129 0.407763
1716306442.266158 -0.290352 -3.402775 0.155685 0.643456 -0.286438 -0.504717 0.499178
1716306442.866249 -0.360717 -3.344710 0.233646 0.621644 -0.347905 -0.389127 0.584038
1716306443.266309 -0.365993 -3.327167 0.275312 0.595541 -0.370904 -0.388554 0.597316
1716306443.666369 -0.388158 -3.290296 0.339940 0.565647 -0.430985 -0.314674 0.628710
1716306444.066429 -0.395137 -3.229408 0.376486 0.511948 -0.492253 -0.273600 0.648644
1716306444.666518 -0.431310 -3.119020 0.386076 0.437376 -0.573726 -0.193128 0.665013
1716306445.066579 -0.479245 -3.092814 0.388127 0.408113 -0.593123 -0.141259 0.679482
