#timestamp x y z qx qy qz qw
1715276293.521713 -0.539321 0.718911 0.931316 -0.547716 0.429223 0.705515 -0.134246
1715276294.321844 -0.539423 0.715764 0.930595 -0.528096 0.432526 0.720866 -0.119951
1715276294.721905 -0.560918 0.705213 0.874751 -0.527815 0.434744 0.723595 -0.093911
1715276295.121972 -0.557799 0.687585 0.820315 -0.549759 0.381331 0.736633 -0.098607
1715276295.322011 -0.532929 0.668492 0.806105 -0.579508 0.362304 0.716284 -0.140870
1715276295.522052 -0.487544 0.643075 0.799953 -0.603748 0.347474 0.689997 -0.196607
1715276295.722076 -0.421320 0.608440 0.795344 -0.622137 0.304391 0.686623 -0.220999
1715276295.922097 -0.354168 0.576766 0.794169 -0.635638 0.282083 0.673630 -0.250233
1715276296.122128 -0.283249 0.546705 0.782021 -0.650763 0.243829 0.662257 -0.280126
1715276296.322161 -0.216482 0.529528 0.771992 0.670076 -0.199545 -0.645326 0.307789
1715276296.522212 -0.159127 0.515640 0.771460 0.684047 -0.152970 -0.618399 0.355335
1715276296.722233 -0.116985 0.497277 0.769859 0.697974 -0.095159 -0.582363 0.405747
1715276296.922254 -0.094731 0.474135 0.768575 0.702530 -0.028835 -0.540219 0.462368
1715276297.122286 -0.103630 0.443663 0.769611 0.703534 0.031047 -0.493631 0.510299
1715276297.322318 -0.117037 0.429026 0.781900 0.694250 0.072260 -0.463735 0.545661
1715276297.522353 -0.116379 0.437320 0.785953 0.702435 0.105978 -0.441515 0.548105
1715276297.722382 -0.099461 0.468171 0.798401 0.706527 0.135439 -0.399210 0.568424
1715276297.922419 -0.077195 0.521080 0.797482 0.692237 0.175255 -0.370881 0.593751
1715276298.122446 -0.055400 0.569204 0.791977 0.681900 0.223146 -0.334675 0.610909
1715276298.322478 -0.028347 0.605751 0.795913 0.650669 0.289503 -0.274273 0.646214
1715276298.522510 -0.023317 0.628061 0.800709 0.610817 0.354629 -0.199956 0.679087
1715276298.722544 -0.042003 0.669115 0.802988 0.565645 0.433257 -0.120619 0.691220
1715276298.922597 -0.087368 0.725674 0.811287 0.529702 0.476111 -0.051336 0.700071
1715276299.122605 -0.143371 0.786504 0.816960 0.495283 0.516136 0.006836 0.698750
1715276299.322637 -0.208871 0.837202 0.821275 0.456841 0.540707 0.050944 0.704512
1715276299.522670 -0.267589 0.874614 0.820096 0.428036 0.556651 0.078147 0.707685
1715276299.722724 -0.317466 0.909340 0.816724 0.402790 0.573088 0.105171 0.705882
1715276299.922732 -0.352852 0.956747 0.814646 0.354012 0.598640 0.158302 0.700890
1715276300.122764 -0.375142 1.008929 0.808282 0.268997 0.632176 0.236374 0.687111
1715276300.322796 -0.379719 1.037507 0.804462 0.167987 0.662200 0.323674 0.654604
1715276300.522830 -0.398498 1.028775 0.806866 0.076969 0.688690 0.397231 0.601655
1715276300.722859 -0.437981 0.976218 0.816876 0.026891 0.699382 0.461046 0.545507
1715276300.922891 -0.448166 0.904518 0.828568 -0.012113 0.698501 0.505887 0.505992
1715276301.122923 -0.423347 0.813694 0.826917 -0.045750 0.703125 0.527499 0.474623
1715276301.322958 -0.395873 0.727383 0.826065 -0.081842 0.698028 0.546022 0.455981
1715276301.522986 -0.369120 0.664964 0.834206 -0.119311 0.688800 0.580906 0.416975
1715276301.723018 -0.328826 0.613252 0.837624 -0.183217 0.680433 0.614191 0.355263
1715276301.923050 -0.268187 0.575932 0.827261 -0.238148 0.652135 0.634453 0.339816
1715276302.123082 -0.218147 0.534622 0.813968 -0.290979 0.630951 0.641469 0.325192
1715276302.323114 -0.178131 0.469408 0.813812 -0.322930 0.627525 0.648850 0.284467
1715276302.523146 -0.147209 0.367764 0.815009 -0.359095 0.602359 0.664400 0.258432
1715276302.723177 -0.103144 0.256082 0.824686 -0.386870 0.575027 0.688525 0.213563
1715276302.923211 -0.059595 0.167819 0.824770 -0.431321 0.548433 0.694514 0.175598
1715276303.123240 -0.026421 0.088716 0.828486 -0.450419 0.528677 0.699856 0.166810
1715276303.323272 0.004732 0.049527 0.831251 -0.462910 0.512806 0.707036 0.151145
1715276303.523304 0.029520 0.023531 0.836064 -0.489321 0.496091 0.706775 0.122181
1715276303.723336 0.045508 0.006166 0.849458 -0.503031 0.494839 0.703478 0.084925
1715276304.123398 0.044313 0.023615 0.860947 -0.484286 0.494935 0.713923 0.104024
1715276304.323431 0.035671 0.050606 0.868708 -0.465397 0.498991 0.717533 0.139860
1715276304.523462 0.024655 0.092188 0.872934 -0.439372 0.515208 0.713363 0.180625
1715276304.723494 0.016342 0.135469 0.870671 -0.407154 0.537486 0.703087 0.225838
1715276304.923525 0.006135 0.174723 0.863552 -0.376294 0.544957 0.695432 0.278923
1715276305.123556 -0.008952 0.212835 0.862709 -0.359663 0.557673 0.682798 0.305664
1715276305.323588 -0.021609 0.250794 0.870790 -0.334876 0.577403 0.669130 0.326695
1715276305.523620 -0.034919 0.296647 0.876972 -0.304250 0.598897 0.651050 0.353396
1715276305.723651 -0.055107 0.367310 0.883009 -0.261293 0.622027 0.627465 0.388712
1715276305.923683 -0.074770 0.464629 0.893286 -0.202215 0.654373 0.593291 0.422979
1715276306.123715 -0.111055 0.556579 0.911986 -0.135094 0.673943 0.572125 0.447463
1715276306.323746 -0.150629 0.643148 0.923657 -0.096113 0.688163 0.546001 0.468058
1715276306.523777 -0.176713 0.722504 0.920716 -0.049919 0.698532 0.508396 0.501094
1715276306.723809 -0.198240 0.796170 0.907745 0.011725 0.697519 0.449456 0.557960
1715276306.923840 -0.209914 0.852014 0.918731 0.093060 0.682489 0.385668 0.613848
1715276307.123872 -0.191420 0.893241 0.937761 0.193772 0.654336 0.314071 0.660043
1715276307.323903 -0.155091 0.939774 0.951945 0.270419 0.611218 0.249738 0.700655
1715276307.523935 -0.127050 0.970161 0.971153 0.332594 0.582937 0.218315 0.708452
1715276307.723966 -0.105685 0.970300 0.986656 0.393335 0.542012 0.167041 0.723608
1715276307.923997 -0.102901 0.951939 1.000723 0.450562 0.494149 0.094395 0.737496
1715276308.124029 -0.132827 0.924006 1.014800 0.498622 0.445207 0.032903 0.743023
1715276308.324060 -0.177326 0.902148 1.023542 0.531959 0.408031 -0.002374 0.741973
1715276308.524092 -0.218401 0.892033 1.038532 0.543670 0.380070 -0.009743 0.748248
1715276308.724123 -0.252128 0.895384 1.057763 0.556486 0.362494 0.012737 0.747502
1715276309.124186 -0.280039 0.945536 1.032695 0.512643 0.378158 0.023139 0.770492
1715276309.324217 -0.287920 0.961869 1.009440 0.479755 0.413407 0.024498 0.773518
1715276309.524249 -0.295491 0.973874 0.988468 0.448722 0.449501 0.028478 0.771872
1715276309.724280 -0.306508 0.978881 1.034471 0.472352 0.449442 0.104015 0.751043
1715276309.924311 -0.317342 0.978557 1.118678 0.510835 0.446793 0.209332 0.703991
1715276310.124342 -0.325696 0.968638 1.201915 0.535861 0.439550 0.303115 0.654042
1715276310.324373 -0.332824 0.943784 1.272845 0.561278 0.414040 0.361503 0.618752
1715276310.524405 -0.333190 0.917291 1.324487 0.581142 0.413412 0.412317 0.566885
1715276310.724436 -0.338261 0.888736 1.384948 0.597312 0.391760 0.458701 0.528522
1715276310.924467 -0.349723 0.855646 1.443078 0.618748 0.352920 0.501775 0.490735
1715276311.124499 -0.358969 0.827127 1.485261 0.625624 0.329163 0.533281 0.464606
1715276311.324529 -0.371603 0.783215 1.516086 0.652866 0.261977 0.550792 0.449179
1715276311.524561 -0.375186 0.747705 1.528658 0.672715 0.213930 0.547445 0.449436
1715276311.724592 -0.354535 0.738428 1.517423 0.678684 0.208856 0.511282 0.484105
1715276311.924623 -0.317734 0.741170 1.497307 0.680251 0.217928 0.444378 0.540642
1715276312.124655 -0.288879 0.739713 1.465674 0.682687 0.201953 0.374999 0.593742
1715276312.324686 -0.259313 0.737326 1.429245 0.674963 0.205484 0.318266 0.633173
1715276312.524718 -0.234430 0.740641 1.399176 0.659800 0.226511 0.254294 0.669844
1715276312.724749 -0.220018 0.739847 1.368617 0.653271 0.251085 0.197964 0.686297
1715276312.924780 -0.209267 0.735982 1.350055 0.654858 0.273607 0.163401 0.685274
1715276313.124811 -0.200353 0.731182 1.343886 0.659425 0.264369 0.101316 0.696421
1715276313.524873 -0.181214 0.707742 1.343293 0.664224 0.288930 0.039580 0.688301
1715276313.724904 -0.184594 0.683050 1.346877 0.674633 0.260911 -0.001545 0.690503
1715276313.924935 -0.193304 0.652583 1.357022 0.687012 0.226698 -0.017739 0.690151
1715276314.124966 -0.194026 0.615777 1.362795 0.702577 0.202061 -0.045501 0.680799
1715276314.525029 -0.162447 0.569613 1.432648 0.709410 0.189242 -0.071356 0.675155
1715276314.725060 -0.150870 0.569456 1.482941 0.702374 0.169135 -0.038002 0.690377
