!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Wednesday, June 05, 2024 17:37:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
5776562500,-14.87546,10.16971
5776875000,-14.818892,8.9582262
5777187500,-14.835943,7.631485
5777500000,-14.758063,7.3656878
5777812500,-14.830256,6.3527904
5778125000,-14.788317,5.3074889
5778437500,-14.88388,3.8253632
5778750000,-14.8457,3.0627918
5779062500,-14.869242,2.3758781
5779375000,-14.796659,1.0003852
5779687500,-14.872195,-0.57369238
5780000000,-14.81224,-1.0531373
5780312500,-14.972151,-2.0368257
5780625000,-14.914915,-2.6722255
5780937500,-14.877139,-3.9138534
5781250000,-14.863685,-5.0823536
5781562500,-14.836174,-6.3809419
5781875000,-14.978396,-7.4610963
5782187500,-14.925769,-8.1447849
5782500000,-15.020763,-9.6782331
5782812500,-14.955041,-10.483316
5783125000,-14.919429,-11.12769
5783437500,-15.026485,-12.815734
5783750000,-15.00133,-13.806043
5784062500,-14.933587,-14.951322
5784375000,-15.046274,-15.940133
5784687500,-14.954041,-16.355078
5785000000,-15.032967,-18.199404
5785312500,-14.92773,-18.750109
5785625000,-14.96099,-20.033634
5785937500,-15.080894,-20.700327
5786250000,-15.030972,-22.880203
5786562500,-15.068238,-22.996111
5786875000,-15.028804,-23.956638
5787187500,-15.038326,-24.878443
5787500000,-15.095144,-26.547741
5787812500,-15.064,-27.103529
5788125000,-14.984289,-28.296524
5788437500,-15.21669,-28.634483
5788750000,-15.140065,-30.035126
5789062500,-15.09346,-31.739664
5789375000,-15.086359,-32.066448
5789687500,-15.143696,-33.949821
5790000000,-15.136364,-34.367878
5790312500,-15.246082,-35.130821
5790625000,-15.183827,-36.423637
5790937500,-15.181129,-37.45525
5791250000,-15.196774,-39.472397
5791562500,-15.277962,-39.184216
5791875000,-15.235156,-40.469151
5792187500,-15.382557,-41.887722
5792500000,-15.28154,-43.310764
5792812500,-15.303086,-44.106594
5793125000,-15.29817,-44.017529
5793437500,-15.254284,-46.002155
5793750000,-15.343423,-46.720043
5794062500,-15.284257,-48.372162
5794375000,-15.230083,-48.389935
5794687500,-15.549886,-49.488346
5795000000,-15.335399,-50.481918
5795312500,-15.472242,-52.395107
5795625000,-15.381624,-52.431816
5795937500,-15.541879,-52.853424
5796250000,-15.46153,-53.827339
5796562500,-15.572612,-56.346439
END

