!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Sunday, June 09, 2024 14:37:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
5776562500,-15.239778,42.953804
5776875000,-15.162762,41.627834
5777187500,-15.193077,41.58527
5777500000,-15.306026,39.576504
5777812500,-15.257277,38.999607
5778125000,-15.180609,38.312763
5778437500,-15.209904,36.577869
5778750000,-15.2757,35.621025
5779062500,-15.183364,34.388008
5779375000,-15.204196,34.00172
5779687500,-15.180016,33.408928
5780000000,-15.218041,31.67083
5780312500,-15.204592,30.704815
5780625000,-15.235034,29.767523
5780937500,-15.166755,28.853588
5781250000,-15.365954,27.72299
5781562500,-15.28688,27.149858
5781875000,-15.286549,25.597349
5782187500,-15.14772,24.35709
5782500000,-15.256655,24.179247
5782812500,-15.292267,23.142771
5783125000,-15.178239,22.635498
5783437500,-15.250963,21.507156
5783750000,-15.185632,20.225679
5784062500,-15.148289,18.522991
5784375000,-15.370151,17.543501
5784687500,-15.235252,17.157412
5785000000,-15.369282,16.545547
5785312500,-15.283202,14.991714
5785625000,-15.294091,14.59704
5785937500,-15.230189,12.485507
5786250000,-15.288289,11.468201
5786562500,-15.268334,11.067567
5786875000,-15.393411,9.7441273
5787187500,-15.369783,8.450654
5787500000,-15.329921,7.7102675
5787812500,-15.215663,6.983654
5788125000,-15.238039,6.5914726
5788437500,-15.359447,5.5509963
5788750000,-15.350666,3.9298446
5789062500,-15.348512,3.763845
5789375000,-15.359656,1.4342484
5789687500,-15.331167,1.1097686
5790000000,-15.37153,0.32146606
5790312500,-15.359022,-0.62123024
5790625000,-15.425931,-1.9340534
5790937500,-15.369898,-2.4571657
5791250000,-15.428199,-3.7004027
5791562500,-15.438643,-4.196691
5791875000,-15.46864,-5.6065245
5792187500,-15.443408,-7.1078153
5792500000,-15.447479,-8.1057301
5792812500,-15.424748,-9.4380684
5793125000,-15.502895,-9.7979994
5793437500,-15.43863,-10.586512
5793750000,-15.468669,-11.398792
END

